class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AVNxSphericalJointDesc@@,0x00AB3478,0,0x00A91EDC,0x00A91EE8,3,0x00000000,non_code:0xab34c4
.?AVNxSphereShapeDesc@@,0x00AB34C4,0,0x00A91EEC,0x00A91EF8,3,0x00000000,non_code:0x3da0d97c
.?AVArkCharacterControllable@@,0x00AB3510,0,0x00A91F78,0x00A91F7C,1,0x00000000,non_code:0x0
.?AVArkBoundResourceItem@@,0x00AB3558,0,0x00A91FE4,0x00A91FF0,3,0x00000000,non_code:0x54442d18
.?AVNxStream@@,0x00AB35A4,0,0x00A9203C,0x00A92070,13,0x0095D4FA,non_code:0xab35ec
.?AVMemoryWriteBuffer@@,0x00AB35EC,0,0x00A92074,0x00A920A8,13,0x00775CA0,non_code:0xab3638
.?AVMemoryReadBuffer@@,0x00AB3638,0,0x00A920AC,0x00A920E0,13,0x00864280,non_code:0x0
.?AVArkDX8InputHandler@@,0x00AB3684,0,0x00A922BC,0x00A922C0,1,0x00000000,non_code:0xab3720
.?AVArkGameUIFactory@@,0x00AB3720,0,0x00A922C4,0x00A922CC,2,0x00000000,non_code:0xab376c
.?AV?$sp_counted_impl_p@VGUIClass@ArkLoginUI@@@detail@boost@@,0x00AB376C,0,0x00A922D0,0x00A922E0,4,0x008E0010,non_code:0x49474f4c
.?AVGUIClass@ArkLoginUI@@,0x00AB37B8,0,0x00A922F4,0x00A92300,3,0x00000000,non_code:0x454e4f44
.?AVArkChatLogUI@@,0x00AB3878,0,0x00A92350,0x00A92358,2,0x00000000,non_code:0xab38cc
.?AVArkChatLogUI_Impl@@,0x00AB38CC,0,0x00A9235C,0x00A9247C,72,0x00775CA0,non_code:0xab3924
.?AV?$ComponentImpl@VArkUIMsgBox_Impl@@@ArkUI@@,0x00AB3924,0,0x00A92480,0x00A92488,2,0x00000000,non_code:0xab3970
.?AVArkUIMsgBox@@,0x00AB3970,0,0x00A9248C,0x00A92498,3,0x00000000,non_code:0xab3a00
.?AV?$WindowImpl@VArkUIMsgBox_Impl@@@ArkUI@@,0x00AB3A00,0,0x00A9249C,0x00A924A4,2,0x00000000,non_code:0x0
.?AVArkUIMsgBox_Impl@@,0x00AB3A14,0,0x00A924AC,0x00A925D4,74,0x00775CA0,non_code:0xab3a6c
.?AV?$ComponentImpl@VArkChatUI_Impl@@@ArkUI@@,0x00AB3A6C,0,0x00A925D8,0x00A925E0,2,0x00000000,non_code:0xab3ab8
.?AV?$WindowImpl@VArkChatUI_Impl@@@ArkUI@@,0x00AB3AB8,0,0x00A925E4,0x00A925EC,2,0x00000000,non_code:0xab3b08
