nif,parent_ninode_block,texture_effect_block,kind
492793.nif,53,16,NINODE_EFFECTS
492870.nif,16,6,NINODE_EFFECTS
492870.nif,22,5,NINODE_EFFECTS
492890.nif,20,5,NINODE_EFFECTS
492890.nif,20,6,NINODE_EFFECTS
492890.nif,71,4,NINODE_EFFECTS
492914.nif,21,5,NINODE_EFFECTS
492914.nif,21,6,NINODE_EFFECTS
492914.nif,21,7,NINODE_EFFECTS
492914.nif,47,4,NINODE_EFFECTS
492935.nif,20,6,NINODE_EFFECTS
492935.nif,26,5,NINODE_EFFECTS
492935.nif,45,4,NINODE_EFFECTS
492966.nif,32,37,NINODE_EFFECTS
492969.nif,18,5,NINODE_EFFECTS
492969.nif,24,4,NINODE_EFFECTS
492988.nif,16,4,NINODE_EFFECTS
493004.nif,21,8,NINODE_EFFECTS
493004.nif,28,6,NINODE_EFFECTS
493004.nif,28,7,NINODE_EFFECTS
493092.nif,10,5,NINODE_EFFECTS
493124.nif,12,6,NINODE_EFFECTS
493131.nif,10,5,NINODE_EFFECTS
493137.nif,10,5,NINODE_EFFECTS
493293.nif,9,5,NINODE_EFFECTS
493298.nif,9,5,NINODE_EFFECTS
493387.nif,10,5,NINODE_EFFECTS
493456.nif,10,5,NINODE_EFFECTS
493462.nif,10,5,NINODE_EFFECTS
493502.nif,15,10,NINODE_EFFECTS
493552.nif,15,4,NINODE_EFFECTS
493591.nif,4,8,NINODE_EFFECTS
493591.nif,9,13,NINODE_EFFECTS
493931.nif,25,4,NINODE_EFFECTS
493931.nif,26,5,NINODE_EFFECTS
493940.nif,21,5,NINODE_EFFECTS
493940.nif,31,6,NINODE_EFFECTS
494222.nif,12,6,NINODE_EFFECTS
49463.nif,103,35,NINODE_EFFECTS
49463.nif,112,35,NINODE_EFFECTS
496018.nif,22,14,NINODE_EFFECTS
496018.nif,22,15,NINODE_EFFECTS
496018.nif,22,16,NINODE_EFFECTS
496060.nif,14,7,NINODE_EFFECTS
496060.nif,14,8,NINODE_EFFECTS
496070.nif,34,27,NINODE_EFFECTS
496070.nif,34,28,NINODE_EFFECTS
497458.nif,10,5,NINODE_EFFECTS
497610.nif,67,29,NINODE_EFFECTS
498768.nif,70,80,NINODE_EFFECTS
498768.nif,81,89,NINODE_EFFECTS
498879.nif,10,4,NINODE_EFFECTS
498885.nif,9,4,NINODE_EFFECTS
498890.nif,10,4,NINODE_EFFECTS
498895.nif,10,4,NINODE_EFFECTS
498900.nif,10,4,NINODE_EFFECTS
498904.nif,10,4,NINODE_EFFECTS
498935.nif,10,5,NINODE_EFFECTS
498955.nif,11,5,NINODE_EFFECTS
499033.nif,9,21,NINODE_EFFECTS
499033.nif,86,63,NINODE_EFFECTS
499034.nif,22,5,NINODE_EFFECTS
499518.nif,4,12,NINODE_EFFECTS
499518.nif,13,17,NINODE_EFFECTS
499518.nif,18,24,NINODE_EFFECTS
500119.nif,4,10,NINODE_EFFECTS
500725.nif,11,5,NINODE_EFFECTS
500726.nif,11,5,NINODE_EFFECTS
500727.nif,11,5,NINODE_EFFECTS
500728.nif,11,5,NINODE_EFFECTS
500785.nif,10,5,NINODE_EFFECTS
500807.nif,10,5,NINODE_EFFECTS
500815.nif,10,5,NINODE_EFFECTS
500939.nif,12,6,NINODE_EFFECTS
500939.nif,17,5,NINODE_EFFECTS
500945.nif,11,5,NINODE_EFFECTS
501485.nif,5,9,NINODE_EFFECTS
501485.nif,33,37,NINODE_EFFECTS
501485.nif,38,51,NINODE_EFFECTS
501485.nif,63,67,NINODE_EFFECTS
501485.nif,68,72,NINODE_EFFECTS
501485.nif,73,77,NINODE_EFFECTS
501485.nif,78,82,NINODE_EFFECTS
501549.nif,205,201,NINODE_EFFECTS
502841.nif,27,16,NINODE_EFFECTS
502841.nif,27,17,NINODE_EFFECTS
502841.nif,27,18,NINODE_EFFECTS
502841.nif,53,15,NINODE_EFFECTS
502864.nif,22,9,NINODE_EFFECTS
502876.nif,18,9,NINODE_EFFECTS
502876.nif,27,8,NINODE_EFFECTS
502876.nif,31,7,NINODE_EFFECTS
503088.nif,15,8,NINODE_EFFECTS
503088.nif,24,7,NINODE_EFFECTS
503103.nif,36,9,NINODE_EFFECTS
503185.nif,12,7,NINODE_EFFECTS
503185.nif,15,6,NINODE_EFFECTS
503770.nif,27,22,NINODE_EFFECTS
503770.nif,44,18,NINODE_EFFECTS
503770.nif,44,19,NINODE_EFFECTS
503770.nif,44,20,NINODE_EFFECTS
503770.nif,44,21,NINODE_EFFECTS
503798.nif,84,34,NINODE_EFFECTS
503798.nif,91,32,NINODE_EFFECTS
503798.nif,91,33,NINODE_EFFECTS
503798.nif,155,30,NINODE_EFFECTS
503798.nif,155,31,NINODE_EFFECTS
503798.nif,164,28,NINODE_EFFECTS
503798.nif,164,29,NINODE_EFFECTS
503798.nif,173,26,NINODE_EFFECTS
503798.nif,173,27,NINODE_EFFECTS
503798.nif,182,24,NINODE_EFFECTS
503798.nif,182,25,NINODE_EFFECTS
503798.nif,191,21,NINODE_EFFECTS
503798.nif,191,22,NINODE_EFFECTS
