file,ext_len,subclass43,ext_hex,mesh,morph,skin,particle,blocks,mirror
585050.nif,85,,030000000100004040020000004dd65a405665f940cdaf00c19ff4493f0f8d66be3451cfbd6f52fb42c3b8323f010000004dd65a405665f940cdaf00c19ff4493f0f8d66be3451cfbd6f52fb42c3b8323f01000000,1,0,0,0,16,1
472845.nif,121,,03000000010000404003000000af5a13c18c4a384127a076c18a6c243f1e36113f5077d6bd7357b242c2b8323f02000000af5a13c18c4a384127a076c18a6c243f1e36113f5077d6bd7357b242c2b8323f020000001ff45cc18c4a38414783bac18a6c243f1e36113f35fa8ebe80482842c2b8323f02000000,1,0,0,0,15,1
472950.nif,121,,03000000010000404003000000af5a13c18c4a384127a076c18a6c243f1e36113f5077d6bd7357b242c2b8323f02000000af5a13c18c4a384127a076c18a6c243f1e36113f5077d6bd7357b242c2b8323f020000001ff45cc18c4a38414783bac18a6c243f1e36113f35fa8ebe80482842c2b8323f02000000,1,0,0,0,15,1
280687.nif,85,,03000000010000404002000000d8b6dfc09f4d9041f3ab1541db0fc93f000000000000000071fd2c43c3b8323f01000000d8b6dfc09f4d9041f3ab1541db0fc93f000000000000000071fd2c43c3b8323f01000000,1,0,0,0,19,1
472836.nif,121,,03000000010000404003000000827326c1efb81b41788ba4c142e4523e3fbea13e000000009603eb42c2b8323f02000000827326c1efb81b41788ba4c142e4523e3fbea13e000000009603eb42c2b8323f02000000827326c1efb81b41abbeebc142e4523e3fbea13e00000000c5a01742c2b8323f02000000,1,0,0,1,84,1
246708.nif,85,,03000000010000404002000000fdff11b851a4db3e09441bc1000000000000000000000000b4089d42c2b8323f0100000089ce8a3e9738aa3e09441bc10000000000000000b4252fbfe16b8a42c2b8323f01000000,1,0,0,0,12,1
246711.nif,85,,03000000010000404002000000faffffb48c15b240bb272b3fdb0fc93f00000000000000001a517442c2b8323f01000000b75de43f5da757408fe36bbf2cc9943fb056be3e1951f9bedd245142c2b8323f01000000,1,0,0,0,12,1
246761.nif,85,,030000000100004040020000003081dbbf1bd8b6bf55878cbfe4cb96400000000000000000a9d39342c2b8323f01000000cc410cbf7e3519c00917ca3eda84754000000000ea4b0c3fb90d7e42c2b8323f01000000,1,0,0,0,12,1
246766.nif,85,,03000000010000404002000000faffff3464afc640f3ff3fb6db0fc93f0000000000000000e63f8942c2b8323f0100000011017fc048f955403b0159c04d3b7e3f00000000f3665f3fdd645242c2b8323f01000000,1,0,0,0,12,1
246771.nif,85,,030000000100004040020000008db4d0bfb7fa0441b98d63c10000000000000000000000008262a642c2b8323f01000000efc945406957fc40b98d63c100000000000000001e3611bf00408c42c2b8323f01000000,1,0,0,0,12,1
