file,flag_state,nif_version,exporter,mesh,morph,skin,blocks,geom_triangles,entry_count,mirror
46433.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,624,1,1
4876.nif,000000,4.1.0.12,4.0.0.2,1,0,0,32,360,5,1
46227.nif,000000,4.1.0.12,4.0.0.2,1,0,0,72,480,9,1
302902.nif,000000,4.1.0.12,4.1.0.12,1,0,0,31,614,9,1
305850.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,340,2,1
305858.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,340,2,1
305851.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,340,2,1
413099.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,10,132,1,1
385142.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,107,1201,25,1
387660.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,51,358,11,1
387767.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,48,545,11,1
406052.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,41,605,5,1
406062.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,69,1017,19,1
386441.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,10,134,1,1
386443.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,10,134,1,1
63923.nif,000000,4.1.0.12,4.0.0.2,1,0,0,17,304,3,1
63914.nif,000000,4.1.0.12,4.0.0.2,1,0,0,11,408,1,1
63905.nif,000000,4.1.0.12,4.0.0.2,1,0,0,44,942,6,1
287473.nif,000000,4.1.0.12,4.1.0.12,1,0,0,22,194,2,1
311193.nif,000000,4.1.0.12,4.1.0.12,1,0,0,22,2697,3,1
311240.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,251,1,1
311218.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,198,1,1
12467.nif,000000,4.1.0.12,4.0.0.0,1,0,0,21,72,4,1
193134.nif,000000,4.1.0.12,4.1.0.12,1,0,0,21,986,2,1
240772.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,1224,2,1
340540.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,27,1484,4,1
194013.nif,000000,4.1.0.12,4.1.0.12,1,0,0,12,64,2,1
217350.nif,000000,4.1.0.12,4.1.0.12,1,0,0,40,634,6,1
217362.nif,000000,4.1.0.12,4.1.0.12,1,0,0,39,806,6,1
285937.nif,000000,4.1.0.12,4.1.0.12,1,0,0,18,552,2,1
99063.nif,000000,4.1.0.12,4.0.0.2,1,0,0,17,168,2,1
99070.nif,000000,4.1.0.12,4.0.0.2,1,0,0,17,66,2,1
99077.nif,000000,4.1.0.12,4.0.0.2,1,0,0,17,105,2,1
278165.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,660,2,1
99082.nif,000000,4.1.0.12,4.0.0.2,1,0,0,16,42,2,1
64623.nif,000000,4.1.0.12,4.0.0.2,1,0,0,12,12,1,1
64609.nif,000000,4.1.0.12,4.0.0.2,1,0,0,17,378,2,1
64618.nif,000000,4.1.0.12,4.0.0.2,1,0,0,17,312,2,1
190807.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,72,1,1
190826.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,60,1,1
190843.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,36,1,1
190862.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,120,1,1
169210.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,652,2,1
169330.nif,000000,4.1.0.12,4.1.0.12,1,0,0,14,96,3,1
169347.nif,000000,4.1.0.12,4.1.0.12,1,0,0,14,96,3,1
169361.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,28,1,1
169381.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,28,1,1
169395.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,168,1,1
168244.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,682,2,1
192829.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,37,528,4,1
193168.nif,000000,4.1.0.12,4.1.0.12,1,0,0,21,440,2,1
281104.nif,000000,4.1.0.12,4.1.0.12,1,0,0,14,172,1,1
286526.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
305923.nif,000000,4.1.0.12,4.1.0.12,1,0,0,14,172,2,1
305924.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,160,1,1
305925.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,204,1,1
305926.nif,000000,4.1.0.12,4.1.0.12,1,0,0,14,186,2,1
305927.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
305928.nif,000000,4.1.0.12,4.1.0.12,1,0,0,25,282,3,1
305929.nif,000000,4.1.0.12,4.1.0.12,1,0,0,25,282,3,1
301158.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
197725.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
280542.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
193078.nif,000000,4.1.0.12,4.1.0.12,1,0,0,27,282,3,1
320714.nif,000000,4.1.0.12,4.1.0.12,1,0,0,37,528,4,1
197703.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
280868.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,2,1,1
280746.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
193391.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,37,528,4,1
323435.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,32,188,3,1
281718.nif,000000,4.1.0.12,4.1.0.12,1,0,0,13,2,3,1
192811.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,37,528,4,1
354235.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,30,236,3,1
288531.nif,000000,4.1.0.12,4.1.0.12,1,0,0,31,92,3,1
293359.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,4,1,1
283118.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
284430.nif,000000,4.1.0.12,4.1.0.12,1,0,0,19,292,2,1
168262.nif,000000,4.1.0.12,4.1.0.12,1,0,0,29,232,3,1
284456.nif,000000,4.1.0.12,4.1.0.12,1,0,0,29,228,3,1
284468.nif,000000,4.1.0.12,4.1.0.12,1,0,0,29,228,3,1
289283.nif,000000,4.1.0.12,4.1.0.12,1,0,0,31,92,3,1
190751.nif,000000,4.1.0.12,4.1.0.12,1,0,0,17,172,3,1
190606.nif,000000,4.1.0.12,4.1.0.12,1,0,0,17,172,3,1
190676.nif,000000,4.1.0.12,4.1.0.12,1,0,0,17,172,3,1
354198.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,19,280,2,1
335388.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,106,688,19,1
191508.nif,000000,4.1.0.12,4.1.0.12,1,0,0,35,318,5,1
