entry_index,name,size_stored,offset,size_plain,compression,sha256_stored,sha256_plain,header_string,version_hex,version_label,header_version_text,text_version_match,field_c,field_d,scan_status
2640,525914.nif,9828,266731584,9828,raw,1DB06A3E80B6993F71268606376FFF4B328317E6A4AF64D29B79DEAE2A1DBE30,1DB06A3E80B6993F71268606376FFF4B328317E6A4AF64D29B79DEAE2A1DBE30,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x2489A273,0x2489A273,SCANNED
2641,526689.nif,12260,266741412,12260,raw,1E2E43D97EBEE6C376AC27E73D3CAAC1470840FDDAD82279C0D18A2678A5490C,1E2E43D97EBEE6C376AC27E73D3CAAC1470840FDDAD82279C0D18A2678A5490C,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x6723DC34,0x6723DC34,SCANNED
2642,514804.nif,19216,266753672,19216,raw,528011BC19C4A27519F3ADC6BB05BAC157F6E190FE340E45BB7DB4151EA7A435,528011BC19C4A27519F3ADC6BB05BAC157F6E190FE340E45BB7DB4151EA7A435,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x6F062379,0x6F062379,SCANNED
2643,525918.nif,30128,266772888,30128,raw,22D245F0A3CF353BED468C5ABA86E0088C409C61E60D4741E046DB05E69F1978,22D245F0A3CF353BED468C5ABA86E0088C409C61E60D4741E046DB05E69F1978,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x0086C1BF,0x0086C1BF,SCANNED
2644,525922.nif,19766,266803016,19766,raw,99A048F141F4FAE2FF08D0C38FD02EE64777A6E1BA0B20765FB7D1731FBB0AB0,99A048F141F4FAE2FF08D0C38FD02EE64777A6E1BA0B20765FB7D1731FBB0AB0,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xAD4A4EF0,0xAD4A4EF0,SCANNED
2645,525926.nif,55127,266822782,55127,raw,CDD171C15B55FFF6394891DFDD9F470801226AA325B56028CF7A3A1B23BD1594,CDD171C15B55FFF6394891DFDD9F470801226AA325B56028CF7A3A1B23BD1594,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x37EF9A87,0x37EF9A87,SCANNED
2646,525930.nif,49667,266877909,49667,raw,388B1BC279D52653860C814FA65AD7EF45AEEBF661F7B4EB42093A9508611D59,388B1BC279D52653860C814FA65AD7EF45AEEBF661F7B4EB42093A9508611D59,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xB741D4ED,0xB741D4ED,SCANNED
2647,525934.nif,42330,266927576,42330,raw,59CD6C36054E0C78C77F792E6EA96991BD21954923E0F28904655D038744A994,59CD6C36054E0C78C77F792E6EA96991BD21954923E0F28904655D038744A994,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x7B947646,0x7B947646,SCANNED
2648,525938.nif,25716,266969906,25716,raw,28546AC3455A9196CB861A05DFAA6869837F47A9458D86192924EB558B157BEE,28546AC3455A9196CB861A05DFAA6869837F47A9458D86192924EB558B157BEE,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x58052231,0x58052231,SCANNED
2649,525942.nif,8220,266995622,8220,raw,11E7AD5035045E83EC588A07F76EE4059F2B39C11F59FAAF4661B1605DEC7D34,11E7AD5035045E83EC588A07F76EE4059F2B39C11F59FAAF4661B1605DEC7D34,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xDFA1F887,0xDFA1F887,SCANNED
2650,525946.nif,15052,267003842,15052,raw,33B78F08F37446C25816640400BE48DDCE7F41E2BCFCD0D284AB978C39A6E6CC,33B78F08F37446C25816640400BE48DDCE7F41E2BCFCD0D284AB978C39A6E6CC,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xB9C0050E,0xB9C0050E,SCANNED
2651,545493.nif,72099,267018894,72099,raw,6A169AB5EC3F3A6B8836B5A46E1A0B2BD0A6F82FDBA06B1244283A3F22B02635,6A169AB5EC3F3A6B8836B5A46E1A0B2BD0A6F82FDBA06B1244283A3F22B02635,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x32F67A39,0x32F67A39,SCANNED
2652,545496.nif,72103,267090993,72103,raw,E33F8A3E73D0EB66C132097215F26CC2ADB11B925374033F6F999D27AE151052,E33F8A3E73D0EB66C132097215F26CC2ADB11B925374033F6F999D27AE151052,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x97E5784B,0x97E5784B,SCANNED
2653,545498.nif,72103,267163096,72103,raw,6A9B02E91B26F4B8DE0420B5A5C00A0CB4115EDDFB6037A2487314D7C7E52EB4,6A9B02E91B26F4B8DE0420B5A5C00A0CB4115EDDFB6037A2487314D7C7E52EB4,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x719053AE,0x719053AE,SCANNED
2654,545500.nif,41541,267235199,41541,raw,34CE1F227EDD755A50B46509C632C43B280704096DBE3858F2AE1DAFCF110B10,34CE1F227EDD755A50B46509C632C43B280704096DBE3858F2AE1DAFCF110B10,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x0029ED4F,0x0029ED4F,SCANNED
2655,545502.nif,24453,267276740,24453,raw,316486BEEF0DC7B81ED54E8512C1B46C9A8EFDC0340903B69F6915299647A667,316486BEEF0DC7B81ED54E8512C1B46C9A8EFDC0340903B69F6915299647A667,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x8F2E546D,0x8F2E546D,SCANNED
2656,545504.nif,15579,267301193,15579,raw,1CD7F842E0B25F1E05D400E4E298764B1BAAF799F405BC24B4D55757B193156D,1CD7F842E0B25F1E05D400E4E298764B1BAAF799F405BC24B4D55757B193156D,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xDAACCE9E,0xDAACCE9E,SCANNED
2657,545559.nif,16257,267316772,16257,raw,88AA70C8ABAA1A57DEDE69273DFB471C63CB9344506644BF844B946F2114722F,88AA70C8ABAA1A57DEDE69273DFB471C63CB9344506644BF844B946F2114722F,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xE21E24E5,0xE21E24E5,SCANNED
2658,545518.nif,19343,267333029,19343,raw,71B1917B513179A25FE86CDAC0073C562E4AB8384475523280030CF73DF7FFEA,71B1917B513179A25FE86CDAC0073C562E4AB8384475523280030CF73DF7FFEA,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xBE393926,0xBE393926,SCANNED
2659,545521.nif,60519,267352372,60519,raw,40ADA2F77241A3153533A63CE77DF9B0184FF76447EA15404EB385E746B74071,40ADA2F77241A3153533A63CE77DF9B0184FF76447EA15404EB385E746B74071,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xC105A958,0xC105A958,SCANNED
